Gledis-server -config=rocksdb.conf
2014/08/29 17:58:20
 %CPU %MEM
163.5  2.9


2014/08/29 17:58:30
 %CPU %MEM
231.4  3.7


2014/08/29 17:58:40
 %CPU %MEM
193.9  4.4


2014/08/29 17:58:50
 %CPU %MEM
183.1  4.9


2014/08/29 17:59:00
 %CPU %MEM
193.2  5.7


2014/08/29 17:59:10
 %CPU %MEM
163.1  6.3


2014/08/29 17:59:20
 %CPU %MEM
182.2  6.7


2014/08/29 17:59:31
 %CPU %MEM
200.5  7.1


2014/08/29 17:59:41
 %CPU %MEM
179.4  7.6


2014/08/29 17:59:51
 %CPU %MEM
190.3  7.9


2014/08/29 18:00:01
 %CPU %MEM
192.7  8.1


2014/08/29 18:00:11
 %CPU %MEM
193.9  8.2


2014/08/29 18:00:21
 %CPU %MEM
186.5  8.2


2014/08/29 18:00:31
 %CPU %MEM
189.2  8.3


2014/08/29 18:00:41
 %CPU %MEM
219.3  8.1


2014/08/29 18:00:51
 %CPU %MEM
229.5  8.0


2014/08/29 18:01:01
 %CPU %MEM
240.7  8.4


2014/08/29 18:01:11
 %CPU %MEM
165.0  8.4


2014/08/29 18:01:21
 %CPU %MEM
146.7  8.4


2014/08/29 18:01:31
 %CPU %MEM
192.3  8.4


2014/08/29 18:01:41
 %CPU %MEM
167.3  8.4


2014/08/29 18:01:51
 %CPU %MEM
188.7  8.4


2014/08/29 18:02:01
 %CPU %MEM
180.4  8.4


2014/08/29 18:02:11
 %CPU %MEM
189.7  8.4


2014/08/29 18:02:21
 %CPU %MEM
102.7  8.4


2014/08/29 18:02:31
 %CPU %MEM
114.8  8.4


2014/08/29 18:02:41
 %CPU %MEM
188.5  8.4


2014/08/29 18:02:51
 %CPU %MEM
263.0  8.3


2014/08/29 18:03:01
 %CPU %MEM
168.4  8.2


2014/08/29 18:03:11
 %CPU %MEM
202.0  8.6


2014/08/29 18:03:21
 %CPU %MEM
188.3  8.6


2014/08/29 18:03:31
 %CPU %MEM
194.8  8.7


2014/08/29 18:03:41
 %CPU %MEM
