          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   31.33  33  1.01   157.69  11  1.62 
   14.02  13  0.18   175.46  17  2.91 
    0.00   0  0.00   768.00   1  0.60 
   15.82  24  0.37   910.22   2  1.60 
   13.71   1  0.02   819.20   2  1.60 
    4.00   0  0.00   831.72   9  6.98 
   55.10   8  0.43   910.22   2  1.60 
   18.89  46  0.84   169.22  21  3.40 
    7.62  15  0.11   512.00   0  0.20 
    4.00   1  0.00  1024.00   2  1.60 
    4.92   3  0.01   850.56  24 20.27 
   51.52   8  0.42   841.02  11  9.03 
    0.00   0  0.00   819.20   2  1.60 
    0.00   0  0.00   746.41   4  3.21 
   14.79  16  0.23    45.32   5  0.22 
    0.00   0  0.00   885.37   8  7.09 
  137.50   2  0.21  1024.00   2  1.60 
    4.00   0  0.00   837.82   2  1.80 
    0.00   0  0.00  1024.00   2  1.60 
    8.00   0  0.00  1024.00   2  1.80 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   13.41   5  0.07   320.96  22  6.90 
    8.00   0  0.00  1024.00   2  1.60 
    0.00   0  0.00   910.22   2  1.60 
    0.00   0  0.00   910.22   2  1.60 
   30.67   5  0.14  1024.00   2  1.60 
    4.00   0  0.00   865.02   9  7.26 
   12.38   5  0.06   221.62   5  1.13 
   55.89   8  0.41  1024.00   1  1.40 
   29.59  48  1.38   169.47   8  1.26 
   11.85  85  0.99   798.22   2  1.40 
   50.00   0  0.02   910.22   2  1.60 
    4.31   3  0.01   903.61  25 21.88 
   14.23  88  1.23   530.19  66 34.17 
    0.00   0  0.00   883.29  28 24.32 
    4.92   3  0.01   801.11  15 11.89 
    0.00   0  0.00   658.29   3  1.80 
    8.00   0  0.00   786.40  10  7.68 
    9.45   2  0.02  1024.00   1  1.00 
   14.99  15  0.23   189.61  11  2.07 
    0.00   0  0.00  1024.00   1  1.40 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    0.00   0  0.00  1024.00   2  1.60 
   14.93   6  0.09   892.45   9  7.67 
   10.67   1  0.01  1024.00   1  1.00 
    6.43  25  0.16  1024.00   2  1.60 
