          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   50.80 291 14.44    45.57  13  0.59 
  235.90 309 71.18     0.00   0  0.00 
   36.24 186  6.57     0.00   0  0.00 
   57.00 157  8.74     0.00   0  0.00 
   34.51 157  5.31     0.00   0  0.00 
   54.52 161  8.57     0.00   0  0.00 
   29.61 221  6.38     0.00   0  0.00 
   21.08 275  5.67     8.00   0  0.00 
   36.79 131  4.70    14.97   3  0.04 
   69.66 102  6.94     0.00   0  0.00 
   43.10 107  4.52     0.00   0  0.00 
   40.99 108  4.31     0.00   0  0.00 
  255.19 180 44.80     0.00   0  0.00 
  117.07 492 56.28     0.00   0  0.00 
  101.58 612 60.75     0.00   0  0.00 
   83.94 247 20.22     0.00   0  0.00 
   43.24 125  5.27     0.00   0  0.00 
   37.79 134  4.96     0.00   0  0.00 
   67.22 112  7.36     0.00   0  0.00 
   46.46  86  3.90     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   39.88 100  3.91     0.00   0  0.00 
   38.92  90  3.44     0.00   0  0.00 
   65.90 101  6.48     0.00   0  0.00 
   37.53 106  3.88     0.00   0  0.00 
   35.60 102  3.55     0.00   0  0.00 
  218.55 119 25.31     0.00   0  0.00 
  284.55 328 91.14     0.00   0  0.00 
  264.46 366 94.45     0.00   0  0.00 
  110.11 209 22.45     0.00   0  0.00 
   57.28 159  8.88     0.00   0  0.00 
   43.57 119  5.07     0.00   0  0.00 
   46.96  96  4.39     0.00   0  0.00 
   74.21  95  6.88     0.00   0  0.00 
   42.98  86  3.61     0.00   0  0.00 
   47.35  80  3.71     0.00   0  0.00 
   51.21  82  4.12     0.00   0  0.00 
   69.15  95  6.45     0.00   0  0.00 
   47.89  80  3.76     0.00   0  0.00 
   50.81  79  3.92     0.00   0  0.00 
  110.22  68  7.32     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  295.94 154 44.62     0.00   0  0.00 
  247.90 284 68.75     0.00   0  0.00 
  141.91 447 61.98     0.00   0  0.00 
   92.68 613 55.50     0.00   0  0.00 
   60.49 364 21.48     7.62   2  0.01 
   30.12 185  5.44     0.00   0  0.00 
   45.29 117  5.19     0.00   0  0.00 
   63.54 138  8.56    14.00   1  0.02 
   39.27 113  4.35     0.00   0  0.00 
   46.98  93  4.26     0.00   0  0.00 
   75.40 100  7.40     0.00   0  0.00 
   32.39 112  3.54     0.00   0  0.00 
   43.82  85  3.65     0.00   0  0.00 
   88.70  81  7.04     0.00   0  0.00 
  300.68 133 38.93     0.00   0  0.00 
  206.96 315 63.70     0.00   0  0.00 
  159.74 425 66.35     0.00   0  0.00 
  147.93 417 60.25     0.00   0  0.00 
  109.67 352 37.68     0.00   0  0.00 
   60.34 114  6.73     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   40.82 137  5.48     0.00   0  0.00 
   74.40 111  8.10     0.00   0  0.00 
   41.36  97  3.92     0.00   0  0.00 
   43.64 109  4.65     0.00   0  0.00 
   36.79 169  6.07     0.00   0  0.00 
   68.47  93  6.19     0.00   0  0.00 
   43.94  89  3.83     0.00   0  0.00 
   50.18  56  2.76     0.00   0  0.00 
  255.63  90 22.39     0.00   0  0.00 
  320.80 221 69.39     0.00   0  0.00 
  275.31 268 71.95     0.00   0  0.00 
  112.74 306 33.69     0.00   0  0.00 
   61.30 130  7.76     0.00   0  0.00 
   46.85  90  4.14     0.00   0  0.00 
   46.43  98  4.46     0.00   0  0.00 
   78.32  84  6.41     0.00   0  0.00 
   36.70 104  3.74     0.00   0  0.00 
   50.58  76  3.77     0.00   0  0.00 
   33.68 108  3.57     0.00   0  0.00 
   86.88 117  9.89     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   49.42  72  3.47     0.00   0  0.00 
   44.20  73  3.16     0.00   0  0.00 
   94.53  75  6.92     0.00   0  0.00 
  371.71 113 41.19     0.00   0  0.00 
  240.80 248 58.39     0.00   0  0.00 
  242.83 236 56.08     0.00   0  0.00 
  186.07 336 61.11     0.00   0  0.00 
   89.31 294 25.65     0.00   0  0.00 
   52.67 154  7.93     0.00   0  0.00 
   45.24 120  5.32     0.00   0  0.00 
   57.82 126  7.14     0.00   0  0.00 
   52.59 103  5.29     0.00   0  0.00 
  797.72   7  5.61     0.00   0  0.00 
  270.27  25  6.68     0.00   0  0.00 
  262.89  67 17.17     0.00   0  0.00 
  457.52  50 22.52     0.00   0  0.00 
  319.26 169 52.68     0.00   0  0.00 
  370.80 215 77.96     0.00   0  0.00 
  368.38 212 76.14     7.56   2  0.01 
  200.60 208 40.70    13.69   1  0.02 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  173.74 227 38.44     0.00   0  0.00 
  218.45 177 37.69     0.00   0  0.00 
  260.27 203 51.67     0.00   0  0.00 
  295.89 221 63.85     0.00   0  0.00 
  375.28 195 71.38     0.00   0  0.00 
  355.04 253 87.77     0.00   0  0.00 
  342.78 207 69.28     0.00   0  0.00 
  393.95 166 63.75     0.00   0  0.00 
  380.94 134 49.98     0.00   0  0.00 
  294.63 193 55.54     0.00   0  0.00 
  291.03 139 39.43     0.00   0  0.00 
  309.11 160 48.34     0.00   0  0.00 
  212.52 267 55.48     0.00   0  0.00 
  244.20 226 53.80     0.00   0  0.00 
  363.33 232 82.26     0.00   0  0.00 
  421.01 143 58.90     0.00   0  0.00 
  379.02 150 55.67     0.00   0  0.00 
  315.60 186 57.41     0.00   0  0.00 
  341.39 163 54.32     0.00   0  0.00 
  274.70 159 42.66     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  348.51 123 41.96     0.00   0  0.00 
  465.38 116 52.81     0.00   0  0.00 
  438.50 138 59.14     0.00   0  0.00 
  407.87 147 58.54     0.00   0  0.00 
  287.36 180 50.57     0.00   0  0.00 
  353.72 154 53.33     0.00   0  0.00 
  383.55 146 54.73     0.00   0  0.00 
  185.59 253 45.84     0.00   0  0.00 
  404.61 112 44.29     0.00   0  0.00 
  432.95  81 34.20     0.00   0  0.00 
  463.35  82 37.01     0.00   0  0.00 
  352.17 138 47.42     0.00   0  0.00 
  485.90  63 29.84     0.00   0  0.00 
  484.02  89 42.20     0.00   0  0.00 
  470.75  90 41.55     0.00   0  0.00 
  380.20  97 36.20     0.00   0  0.00 
  316.59 151 46.64     0.00   0  0.00 
  433.55 107 45.29     0.00   0  0.00 
  325.70 133 42.36     0.00   0  0.00 
  323.19 169 53.30     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  333.04 167 54.43     0.00   0  0.00 
  431.26 184 77.49     0.00   0  0.00 
  349.22 263 89.62     0.00   0  0.00 
  344.05 193 64.90     0.00   0  0.00 
  281.00 197 53.99     0.00   0  0.00 
  145.11 233 33.07     0.00   0  0.00 
   41.12 179  7.19     0.00   0  0.00 
   69.46 135  9.16     0.00   0  0.00 
   61.59 211 12.69     0.00   0  0.00 
   47.11 114  5.23     0.00   0  0.00 
